Index of Urantia Book Fellowship Herald articles	--------------------------------------------------------	is-title	Fellowship Herald
Volume 1, Number 1, 1998 (Fall)	/image/article/Herald_covers/Herald1998Fall.jpg	is-issue	--------------------------------------------------------
On the Brink of the Most Amazing and Enthralling Epoch	/en/article/Carolyn_Kendall/On_the_Brink_of_The_Most_Amazing	Carolyn Kendall	Future, The Urantia Book, The Urantia Book—History, The Publication Mandate, History of Urantia Movement, Study Groups
Let Your Soul Decide	/en/article/Richard_S_Omura/Let_our_Soul_Decide	Richard S. Omura	Spiritual Growth
The Urantia Papers From a Jewish Perspective	/en/article/Martin_Greenhut/The_Urantia_Papers_From_a_Jewish_Perspective	Martin Greenhut	Judaism, The Urantia Book
The Concepts of Trust and Hope in The Urantia Book	/en/article/Marilyn_Kulieke/Trust_and_Hope_in_The_Urantia_Book	Marilyn Kulieke	Jesus teachings, The Urantia Book
48 Chromosomes - Are We Asking the Right Questions?	/en/article/Ken_Glasziou/48_Chromosomes_Are_We_Asking_the_Right_Questions	Ken Glasziou	Genetics, Science
Volume 1, Number 2, 1999 (Spring)	/image/article/Herald_covers/Herald1999Spring.jpg	is-issue	--------------------------------------------------------
The Challenge of the 21st Century	/en/article/Meredith_Sprunger/The_Challenge_of_the_Twenty_first_Century_2	Meredith Sprunger	History, History of Urantia Movement, Future
On Facing Millennial Change	/en/article/Byron_Belitsos/On_facing_millenial_change	Byron Belitsos	Future
Magisterial Missions	/en/article/Behzad_Sarmast/Magisterial_missions	Behzad Sarmast	History, Future
Springtime: A Study of the Future	/en/article/Henry_Begemann/Springtime_a_study_of_the_future	Henry Begemann	Future
Whither Goest Thou, Woman?	/en/article/Jeanne_Melchior/Whither_Goest_Thou_Woman	Jeanne Melchior	Gender, Family
The Seven Psychic Circles	/en/article/Linda_Buselli/The_seven_psychic_circles	Linda Buselli	Spiritual Growth, Hinduism, Judaism
On Removing The Barrier To A Civilized Discussion Of Eugenics	/en/article/Stephen/On_removing_the_barrier_to_discussion_of_eugenics	Stephen	Eugenics
Volume 2, Number 1, 1999 (Winter)	/image/article/Herald_covers/Herald1999Winter.jpg	is-issue	--------------------------------------------------------
The Family: Birthplace of Cosmic Citizens	/en/article/Paul_Snider/The_Family_Birthplace_of_Cosmic_Citizens	Paul Snider	Family, Spiritual Growth
Two Cosmologies — Astronomy and The Urantia Book	/en/article/Irwin_Ginsburgh/Two_Cosmologies_Astronomy_and_The_Urantia_Book	Irwin Ginsburgh	The Urantia Book, Astronomy, Cosmology, Science
Reflections on cosmic citizenship	/en/article/Stephen_Dreier/Reflections_on_cosmic_citizenship	Stephen Dreier	Cosmic consciousness
